A retail sales dataset adapted from UCL (https://archive.ics.uci.edu/dataset/352/online+retail),,,,,,,
"#InvoiceNo: a 6-digit integral number uniquely assigned to each transaction. If this code starts with letter 'c', it indicates a cancellation",,,,,,,
#StockCode: a 5-digit integral number uniquely assigned to each distinct product,,,,,,,
#Description: product name,,,,,,,
#Quantity: the quantities of each product (item) per transaction,,,,,,,
#InvoiceDate: the day and time when each transaction was generated,,,,,,,
#UnitPrice: product price per unit,,,,,,,
#CustomerID: a 5-digit integral number uniquely assigned to each customer,,,,,,,
#Country: the name of the country where each customer resides,,,,,,,
,,,,,,,
InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536446,22618,COOKING SET RETROSPOT,2,12/1/10 12:15,9.95,15983,United Kingdom
536446,21586,KINGS CHOICE GIANT TUBE MATCHES,4,12/1/10 12:15,2.55,15983,United Kingdom
536446,21587,COSY HOUR GIANT TUBE MATCHES,4,12/1/10 12:15,2.55,15983,United Kingdom
536446,22152,PLACE SETTING WHITE STAR,24,12/1/10 12:15,0.42,15983,United Kingdom
536446,85172,HYACINTH BULB T-LIGHT CANDLES,16,12/1/10 12:15,0.42,15983,United Kingdom
536446,84754,S/15 SILVER GLASS BAUBLES IN BAG,24,12/1/10 12:15,1.25,15983,United Kingdom
536460,22670,FRENCH WC SIGN BLUE METAL,12,12/1/10 12:22,1.25,14849,United Kingdom
536460,21586,KINGS CHOICE GIANT TUBE MATCHES,12,12/1/10 12:22,2.55,14849,United Kingdom
536460,84992,72 SWEETHEART FAIRY CAKE CASES,24,12/1/10 12:22,0.55,14849,United Kingdom
536460,84879,ASSORTED COLOUR BIRD ORNAMENT,24,12/1/10 12:22,1.69,14849,United Kingdom
536460,84849B,FAIRY SOAP SOAP HOLDER,12,12/1/10 12:22,1.69,14849,United Kingdom
536460,22927,GREEN GIANT GARDEN THERMOMETER,2,12/1/10 12:22,5.95,14849,United Kingdom
536460,22926,IVORY GIANT GARDEN THERMOMETER,4,12/1/10 12:22,5.95,14849,United Kingdom
536460,22925,BLUE GIANT GARDEN THERMOMETER,2,12/1/10 12:22,5.95,14849,United Kingdom
536460,21977,PACK OF 60 PINK PAISLEY CAKE CASES,24,12/1/10 12:22,0.55,14849,United Kingdom
536460,21485,RETROSPOT HEART HOT WATER BOTTLE,6,12/1/10 12:22,4.95,14849,United Kingdom
536460,21484,CHICK GREY HOT WATER BOTTLE,8,12/1/10 12:22,3.45,14849,United Kingdom
536460,21259,VICTORIAN SEWING BOX SMALL ,2,12/1/10 12:22,5.95,14849,United Kingdom
536460,21257,VICTORIAN SEWING BOX MEDIUM,2,12/1/10 12:22,7.95,14849,United Kingdom
536460,21121,SET/10 RED POLKADOT PARTY CANDLES,24,12/1/10 12:22,1.25,14849,United Kingdom
536463,82552,WASHROOM METAL SIGN,12,12/1/10 12:22,1.45,14849,United Kingdom
536464,90200B,BLACK SWEETHEART BRACELET,2,12/1/10 12:23,4.25,17968,United Kingdom
536464,90059B,DIAMANTE HAIR GRIP PACK/2 BLACK DIA,2,12/1/10 12:23,1.65,17968,United Kingdom
536464,90185C,BLACK DIAMANTE EXPANDABLE RING,2,12/1/10 12:23,4.25,17968,United Kingdom
536464,90059E,DIAMANTE HAIR GRIP PACK/2 RUBY,3,12/1/10 12:23,1.65,17968,United Kingdom
536464,90059C,DIAMANTE HAIR GRIP PACK/2 MONTANA,1,12/1/10 12:23,1.65,17968,United Kingdom
536464,90200C,BLUE SWEETHEART BRACELET,1,12/1/10 12:23,4.25,17968,United Kingdom
536464,90200D,PINK SWEETHEART BRACELET,3,12/1/10 12:23,4.25,17968,United Kingdom
536464,90200A,PURPLE SWEETHEART BRACELET,1,12/1/10 12:23,4.25,17968,United Kingdom
536464,22386,JUMBO BAG PINK POLKADOT,1,12/1/10 12:23,1.95,17968,United Kingdom
536464,85099B,JUMBO BAG RED RETROSPOT,1,12/1/10 12:23,1.95,17968,United Kingdom
536464,84879,ASSORTED COLOUR BIRD ORNAMENT,8,12/1/10 12:23,1.69,17968,United Kingdom
536464,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,1,12/1/10 12:23,2.95,17968,United Kingdom
536464,22737,RIBBON REEL CHRISTMAS PRESENT ,1,12/1/10 12:23,1.65,17968,United Kingdom
536464,21260,FIRST AID TIN,1,12/1/10 12:23,3.25,17968,United Kingdom
536464,22744,MAKE YOUR OWN MONSOON CARD KIT,2,12/1/10 12:23,2.95,17968,United Kingdom
536464,21985,PACK OF 12 HEARTS DESIGN TISSUES ,1,12/1/10 12:23,0.29,17968,United Kingdom
536464,21980,PACK OF 12 RED RETROSPOT TISSUES ,1,12/1/10 12:23,0.29,17968,United Kingdom
536464,22988,SOLDIERS EGG CUP ,1,12/1/10 12:23,1.25,17968,United Kingdom
536464,22297,HEART IVORY TRELLIS SMALL,1,12/1/10 12:23,1.25,17968,United Kingdom
536464,22294,HEART FILIGREE DOVE  SMALL,1,12/1/10 12:23,1.25,17968,United Kingdom
536464,22295,HEART FILIGREE DOVE LARGE,1,12/1/10 12:23,1.65,17968,United Kingdom
536464,22813,PACK 3 BOXES BIRD PANNETONE ,2,12/1/10 12:23,1.95,17968,United Kingdom
536464,22812,PACK 3 BOXES CHRISTMAS PANNETONE,6,12/1/10 12:23,1.95,17968,United Kingdom
536464,22197,SMALL POPCORN HOLDER,5,12/1/10 12:23,0.85,17968,United Kingdom
536464,21977,PACK OF 60 PINK PAISLEY CAKE CASES,1,12/1/10 12:23,0.55,17968,United Kingdom
536464,22619,SET OF 6 SOLDIER SKITTLES,1,12/1/10 12:23,3.75,17968,United Kingdom
536464,16258A,SWIRLY CIRCULAR RUBBERS IN BAG,1,12/1/10 12:23,0.42,17968,United Kingdom
536464,21992,VINTAGE PAISLEY STATIONERY SET,1,12/1/10 12:23,2.95,17968,United Kingdom
536464,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,1,12/1/10 12:23,2.95,17968,United Kingdom
536464,21124,SET/10 BLUE POLKADOT PARTY CANDLES,1,12/1/10 12:23,1.25,17968,United Kingdom
536464,22735,RIBBON REEL SOCKS AND MITTENS,2,12/1/10 12:23,1.65,17968,United Kingdom
536464,22952,60 CAKE CASES VINTAGE CHRISTMAS,2,12/1/10 12:23,0.55,17968,United Kingdom
536464,22945,CHRISTMAS METAL TAGS ASSORTED ,6,12/1/10 12:23,0.85,17968,United Kingdom
536464,21816,CHRISTMAS TREE T-LIGHT HOLDER,2,12/1/10 12:23,1.45,17968,United Kingdom
536464,21815,STAR  T-LIGHT HOLDER ,4,12/1/10 12:23,1.45,17968,United Kingdom
536464,21814,HEART T-LIGHT HOLDER ,2,12/1/10 12:23,1.45,17968,United Kingdom
536464,10125,MINI FUNKY DESIGN TAPES,2,12/1/10 12:23,0.85,17968,United Kingdom
536464,22810,SET OF 6 T-LIGHTS SNOWMEN,1,12/1/10 12:23,2.95,17968,United Kingdom
536464,22573,STAR WOODEN CHRISTMAS DECORATION,1,12/1/10 12:23,0.85,17968,United Kingdom
536464,22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,1,12/1/10 12:23,0.85,17968,United Kingdom
536464,22603,CHRISTMAS RETROSPOT TREE WOOD,2,12/1/10 12:23,0.85,17968,United Kingdom
536464,22809,SET OF 6 T-LIGHTS SANTA,1,12/1/10 12:23,2.95,17968,United Kingdom
536464,20878,SET/9 CHRISTMAS T-LIGHTS SCENTED ,1,12/1/10 12:23,1.25,17968,United Kingdom
536464,20866,BLUE ROSE FABRIC MIRROR,1,12/1/10 12:23,1.25,17968,United Kingdom
536464,85095,THREE CANVAS LUGGAGE TAGS,1,12/1/10 12:23,1.95,17968,United Kingdom
536464,22333,RETROSPOT PARTY BAG + STICKER SET,1,12/1/10 12:23,1.65,17968,United Kingdom
536464,22557,PLASTERS IN TIN VINTAGE PAISLEY ,1,12/1/10 12:23,1.65,17968,United Kingdom
536464,21584,RETROSPOT SMALL TUBE MATCHES,1,12/1/10 12:23,1.65,17968,United Kingdom
536464,22866,HAND WARMER SCOTTY DOG DESIGN,1,12/1/10 12:23,2.1,17968,United Kingdom
536464,22731,3D CHRISTMAS STAMPS STICKERS ,2,12/1/10 12:23,1.25,17968,United Kingdom
536464,22866,HAND WARMER SCOTTY DOG DESIGN,1,12/1/10 12:23,2.1,17968,United Kingdom
536464,22866,HAND WARMER SCOTTY DOG DESIGN,3,12/1/10 12:23,2.1,17968,United Kingdom
536365,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/1/10 8:26,2.55,17850,United Kingdom
536365,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,12/1/10 8:26,3.39,17850,United Kingdom
536365,22752,SET 7 BABUSHKA NESTING BOXES,2,12/1/10 8:26,7.65,17850,United Kingdom
536365,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,12/1/10 8:26,4.25,17850,United Kingdom
536366,22633,HAND WARMER UNION JACK,6,12/1/10 8:28,1.85,17850,United Kingdom
536368,22912,YELLOW COAT RACK PARIS FASHION,3,12/1/10 8:34,4.95,13047,United Kingdom
536368,22914,BLUE COAT RACK PARIS FASHION,3,12/1/10 8:34,4.95,13047,United Kingdom
536369,21756,BATH BUILDING BLOCK WORD,3,12/1/10 8:35,5.95,13047,United Kingdom
536370,22728,ALARM CLOCK BAKELIKE PINK,24,12/1/10 8:45,3.75,12583,France
536367,21754,HOME BUILDING BLOCK WORD,3,12/1/10 8:34,595934570,13047,United Kingdom
536370,22544,MINI JIGSAW SPACEBOY,24,12/1/10 8:45,0.42,12583,France
536370,22492,MINI PAINT SET VINTAGE ,36,12/1/10 8:45,0.65583,12583,France
536370,POST,POSTAGE,3,12/1/10 8:45,18,12583,France
536371,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,80,12/1/10 9:00,2.55,13748,United Kingdom
536375,20679,EDWARDIAN PARASOL RED,6,12/1/10 9:32,4.95,17850,United Kingdom
536381,22261,FELT EGG COSY WHITE RABBIT ,1,12/1/10 9:41,0.85,15311,United Kingdom
536381,84832,ZINC WILLIE WINKIE  CANDLE STICK,1,12/1/10 9:41,0.85,15311,United Kingdom
536381,22644,CERAMIC CHERRY CAKE MONEY BANK,1,12/1/10 9:41,1.45,15311,United Kingdom
536381,21533,RETROSPOT LARGE MILK JUG,1,12/1/10 9:41,4.95,15311,United Kingdom
536381,21557,SET OF 6 FUNKY BEAKERS,2,12/1/10 9:41,2.95,15311,United Kingdom
536381,22719,GUMBALL MONOCHROME COAT RACK,36,12/1/10 9:41,1.06,15311,United Kingdom
536381,21523,DOORMAT FANCY FONT HOME SWEET HOME,10,12/1/10 9:41,6.75,15311,United Kingdom
C536379,D,Discount,-1,12/1/10 9:41,27.5,14527,United Kingdom
536382,10002,INFLATABLE POLITICAL GLOBE ,12,12/1/10 9:45,0.85,16098,United Kingdom
536382,22783,SET 3 WICKER OVAL BASKETS W LIDS,4,12/1/10 9:45,16.95,16098,United Kingdom
C536383,35004C,SET OF 3 COLOURED  FLYING DUCKS,-1,12/1/10 9:49,4.65,15311,United Kingdom
536384,82484,WOOD BLACK BOARD ANT WHITE FINISH,3,12/1/10 9:53,6.45,18074,United Kingdom
536387,79321,CHILLI LIGHTS,192,12/1/10 9:58,3.82,16029,United Kingdom
536394,21506,"FANCY FONT BIRTHDAY CARD, ",24,12/1/10 10:39,0.42,13408,United Kingdom
536394,22633,HAND WARMER UNION JACK,96,12/1/10 10:39,1.85,13408,United Kingdom
536394,22866,HAND WARMER SCOTTY DOG DESIGN,96,,1.85,13408,United Kingdom
536395,21977,PACK OF 60 PINK PAISLEY CAKE CASES,24,12/1/10 10:47,0.55,,
536395,84991,60 TEATIME FAIRY CAKE CASES,24,12/1/10 10:47,0.55,,United Kingdom
536396,71053,WHITE METAL LANTERN,6,12/1/10 10:51,3.39,17850,United Kingdom
536396,84406B,CREAM CUPID HEARTS COAT HANGER,8,12/1/10 10:51,2.75,17850,United Kingdom
536396,15056BL,EDWARDIAN PARASOL BLACK,6,12/1/10 10:51,4.95,17850,-
536396,20679,EDWARDIAN PARASOL RED,6,12/1/10 10:51,4.95,17850,United Kingdom
536396,37370,RETRO COFFEE MUGS ASSORTED,6,12/1/10 10:51,1.06,17850,United Kingdom
536398,22752,SET 7 BABUSHKA NESTING BOXES,6,12/1/10 10:52,8.5,13448,United Kingdom
536398,48185,DOORMAT FAIRY CAKE,2,,7.95,13448,NA
536398,22632,HAND WARMER RED RETROSPOT,12,12/1/10 10:52,2.1,13448,United Kingdom
536402,22837,HOT WATER BOTTLE BABUSHKA ,36,12/1/10 11:22,4.25,15513,United Kingdom
536403,22867,HAND WARMER BIRD DESIGN,96,12/1/10 11:27,1.85,12791,Netherlands
536403,POST,POSTAGE,1,12/1/10 11:27,15,12791,Netherlands
536404,22297,HEART IVORY TRELLIS SMALL,24,12/1/10 11:29,1.25,16218,United Kingdom
536404,22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,12,12/1/10 11:29,1.25,16218,United Kingdom
536404,22772,PINK DRAWER KNOB ACRYLIC EDWARDIAN,12,12/1/10 11:29,1.25,16218,United Kingdom
536404,22773,GREEN DRAWER KNOB ACRYLIC EDWARDIAN,12,12/1/10 11:29,1.25,16218,United Kingdom
536404,22805,BLUE DRAWER KNOB ACRYLIC EDWARDIAN,12,12/1/10 11:29,1.25,16218,United Kingdom
,,,,,,,
536409,20717,STRAWBERRY SHOPPER BAG,1,12/1/10 11:45,1.25,17908,United Kingdom
536409,20723,STRAWBERRY CHARLOTTE BAG,1,12/1/10 11:45,0.85,17908,United Kingdom
536409,22900, SET 2 TEA TOWELS I LOVE LONDON ,1,12/1/10 11:45,2.95,17908,United Kingdom
536409,21980,PACK OF 12 RED RETROSPOT TISSUES ,12,12/1/10 11:45,0.29,17908,United Kingdom
536409,22111,SCOTTIE DOG HOT WATER BOTTLE,1,12/1/10 11:45,4.95,17908,United Kingdom
536409,22112,CHOCOLATE HOT WATER BOTTLE,1,12/1/10 11:45,4.95,17908,United Kingdom
536412,20728,LUNCH BAG CARS BLUE,3,12/1/10 11:49,1.65,17920,United Kingdom
536412,22382,LUNCH BAG SPACEBOY DESIGN ,3,12/1/10 11:49,1.65,17920,United Kingdom
536412,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,1,12/1/10 11:49,2.95,17920,United Kingdom
536412,22662,LUNCH BAG DOLLY GIRL DESIGN,4,12/1/10 11:49,1.65,17920,United Kingdom
536412,22383,LUNCH BAG SUKI  DESIGN ,3,12/1/10 11:49,1.65,17920,United Kingdom
536412,20727,LUNCH BAG  BLACK SKULL.,3,12/1/10 11:49,1.65,17920,United Kingdom
536412,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,1,12/1/10 11:49,2.95,17920,United Kingdom
536412,22327,ROUND SNACK BOXES SET OF 4 SKULLS,1,12/1/10 11:49,2.95,17920,United Kingdom
536412,22630,DOLLY GIRL LUNCH BOX,1,12/1/10 11:49,1.95,17920,United Kingdom
536412,22629,SPACEBOY LUNCH BOX ,1,12/1/10 11:49,1.95,17920,United Kingdom
536412,21245,GREEN POLKADOT PLATE ,1,12/1/10 11:49,1.69,17920,United Kingdom
536412,21244,BLUE POLKADOT PLATE ,1,12/1/10 11:49,1.69,17920,United Kingdom
536412,21242,RED RETROSPOT PLATE ,1,12/1/10 11:49,1.69,17920,United Kingdom
544573,21700,BIG DOUGHNUT FRIDGE MAGNETS,12,2/21/11 13:40,0.85,12621,Germany
544573,22665,RECIPE BOX BLUE SKETCHBOOK DESIGN,6,2/21/11 13:40,2.95,12621,Germany
544573,22961,JAM MAKING SET PRINTED,24,2/21/11 13:40,1.45,12621,Germany
544573,22960,JAM MAKING SET WITH JARS,6,2/21/11 13:40,4.25,12621,Germany
544573,22303,COFFEE MUG APPLES DESIGN,36,2/21/11 13:40,2.1,12621,Germany
544573,22302,COFFEE MUG PEARS  DESIGN,12,2/21/11 13:40,2.55,12621,Germany
544573,20750,RED RETROSPOT MINI CASES,2,2/21/11 13:40,7.95,12621,Germany
544573,22973,CHILDREN'S CIRCUS PARADE MUG,12,2/21/11 13:40,1.65,12621,Germany
544573,22636,CHILDS BREAKFAST SET CIRCUS PARADE,4,2/21/11 13:40,8.5,12621,Germany
544573,22991,GIRAFFE WOODEN RULER,144,2/21/11 13:40,1.65,12621,Germany
544573,20712,JUMBO BAG WOODLAND ANIMALS,10,2/21/11 13:40,1.95,12621,Germany
544573,21931,JUMBO STORAGE BAG SUKI,10,2/21/11 13:40,1.95,12621,Germany
544573,20719,WOODLAND CHARLOTTE BAG,10,2/21/11 13:40,0.85,12621,Germany
544573,22355,CHARLOTTE BAG SUKI DESIGN,10,2/21/11 13:40,0.85,12621,Germany
544573,22748,POPPY'S PLAYHOUSE KITCHEN,6,2/21/11 13:40,2.1,12621,Germany
544573,22148,EASTER CRAFT 4 CHICKS ,40,2/21/11 13:40,1.65,12621,Germany
544573,22568,FELTCRAFT CUSHION OWL,8,2/21/11 13:40,3.75,12621,Germany
544573,22583,PACK OF 6 HANDBAG GIFT BOXES,6,2/21/11 13:40,2.55,12621,Germany
544573,22585,PACK OF 6 BIRDY GIFT TAGS,12,2/21/11 13:40,1.25,12621,Germany
544573,POST,POSTAGE,5,2/21/11 13:40,18,12621,Germany
544574,22128,PARTY CONES CANDY ASSORTED,12,2/21/11 13:51,1.25,12365,Cyprus
544574,20972,PINK CREAM FELT CRAFT TRINKET BOX ,12,2/21/11 13:51,1.25,12365,Cyprus
544574,22585,PACK OF 6 BIRDY GIFT TAGS,12,2/21/11 13:51,1.25,12365,Cyprus
544574,21107,CREAM SLICE FLANNEL PINK SPOT ,6,2/21/11 13:51,2.95,12365,Cyprus
544574,21106,CREAM SLICE FLANNEL CHOCOLATE SPOT ,6,2/21/11 13:51,2.95,12365,Cyprus
544574,21358,TOAST ITS - HAPPY BIRTHDAY,12,2/21/11 13:51,1.25,12365,Cyprus
544574,21356,TOAST ITS - FAIRY FLOWER,12,2/21/11 13:51,1.25,12365,Cyprus
544574,21355,TOAST ITS - I LOVE YOU ,12,2/21/11 13:51,1.25,12365,Cyprus
544574,22423,REGENCY CAKESTAND 3 TIER,1,2/21/11 13:51,12.75,12365,Cyprus
544574,22699,ROSES REGENCY TEACUP AND SAUCER ,6,2/21/11 13:51,2.95,12365,Cyprus
544574,22698,PINK REGENCY TEACUP AND SAUCER,6,2/21/11 13:51,2.95,12365,Cyprus
544574,84987,SET OF 36 TEATIME PAPER DOILIES,12,2/21/11 13:51,1.45,12365,Cyprus
544574,21974,SET OF 36 PAISLEY FLOWER DOILIES,12,2/21/11 13:51,1.45,12365,Cyprus
544574,21408,SPOTTY PINK DUCK DOORSTOP,3,2/21/11 13:51,4.25,12365,Cyprus
544574,84884A,ANT WHITE WIRE HEART SPIRAL,5,2/21/11 13:51,3.95,12365,Cyprus
544574,22697,GREEN REGENCY TEACUP AND SAUCER,6,2/21/11 13:51,2.95,12365,Cyprus
544574,21651,HANGING GLASS ETCHED TEALIGHT,6,2/21/11 13:51,1.65,12365,Cyprus
C544575,BANK CHARGES,Bank Charges,-1,2/21/11 13:58,134.76,,United Kingdom
C544576,BANK CHARGES,Bank Charges,-1,2/21/11 14:01,149.16,,United Kingdom
C544577,M,Manual,-1,2/21/11 14:02,320.69,12365,Cyprus
544578,M,Manual,1,2/21/11 14:04,320.69,12365,Cyprus
544579,21651,,-6,2/21/11 14:05,0,,United Kingdom
C544580,S,SAMPLES,-1,2/21/11 14:25,5.74,,United Kingdom
C544580,S,SAMPLES,-1,2/21/11 14:25,11.08,,United Kingdom
C544580,S,SAMPLES,-1,2/21/11 14:25,5.79,,United Kingdom
C544580,S,SAMPLES,-1,2/21/11 14:25,6.7,,United Kingdom
C544580,S,SAMPLES,-1,2/21/11 14:25,8.74,,United Kingdom
C544580,S,SAMPLES,-1,2/21/11 14:25,9.74,,United Kingdom
C544580,S,SAMPLES,-1,2/21/11 14:25,9.99,,United Kingdom
C544580,S,SAMPLES,-1,2/21/11 14:25,20.98,,United Kingdom
C544580,S,SAMPLES,-1,2/21/11 14:25,7.69,,United Kingdom
C544580,S,SAMPLES,-1,2/21/11 14:25,5.44,,United Kingdom
C544580,S,SAMPLES,-1,2/21/11 14:25,7,,United Kingdom
C544580,S,SAMPLES,-1,2/21/11 14:25,10,,United Kingdom
C544581,S,SAMPLES,-1,2/21/11 14:32,92,,United Kingdom
C544581,S,SAMPLES,-1,2/21/11 14:32,107.99,,United Kingdom
C544581,S,SAMPLES,-1,2/21/11 14:32,55,,United Kingdom
544582,85206A,CREAM FELT EASTER EGG BASKET,36,2/21/11 14:38,1.65,13410,United Kingdom
544582,22860,EASTER TIN CHICKS PINK DAISY,24,2/21/11 14:38,1.65,13410,United Kingdom
544582,22148,EASTER CRAFT 4 CHICKS ,12,2/21/11 14:38,1.95,13410,United Kingdom
544582,79321,CHILLI LIGHTS,8,2/21/11 14:38,5.75,13410,United Kingdom
544582,22629,SPACEBOY LUNCH BOX ,24,2/21/11 14:38,1.95,13410,United Kingdom
544582,21703,BAG 125g SWIRLY MARBLES,12,2/21/11 14:38,0.42,13410,United Kingdom
544582,21891,TRADITIONAL WOODEN SKIPPING ROPE,12,2/21/11 14:38,1.25,13410,United Kingdom
544582,22620,4 TRADITIONAL SPINNING TOPS,12,2/21/11 14:38,1.25,13410,United Kingdom
C544583,S,SAMPLES,-1,2/21/11 14:48,128.56,,United Kingdom
C544583,S,SAMPLES,-1,2/21/11 14:48,39.5,,United Kingdom
C544583,S,SAMPLES,-1,2/21/11 14:48,37.49,,United Kingdom
C544583,S,SAMPLES,-1,2/21/11 14:48,31.98,,United Kingdom
C544583,S,SAMPLES,-1,2/21/11 14:48,2.8,,United Kingdom
C544583,S,SAMPLES,-1,2/21/11 14:48,4.59,,United Kingdom
C544583,S,SAMPLES,-1,2/21/11 14:48,95,,United Kingdom
C544584,BANK CHARGES,Bank Charges,-1,2/21/11 14:52,109.84,,United Kingdom
544585,23231,WRAP DOILEY DESIGN,25,2/21/11 14:58,0.42,12523,France
544585,22891,TEA FOR ONE POLKADOT,3,2/21/11 14:58,4.25,12523,France
544585,22354,RETROSPOT PADDED SEAT CUSHION,5,2/21/11 14:58,3.75,12523,France
544585,22282,12 EGG HOUSE PAINTED WOOD,2,2/21/11 14:58,12.75,12523,France
544585,22861,EASTER TIN CHICKS IN GARDEN,12,2/21/11 14:58,1.65,12523,France
544585,22857,ASSORTED EASTER GIFT TAGS,24,2/21/11 14:58,0.85,12523,France
544585,22957,SET 3 PAPER VINTAGE CHICK PAPER EGG,6,2/21/11 14:58,2.95,12523,France
544585,POST,POSTAGE,1,2/21/11 14:58,18,12523,France
544586,22926,IVORY GIANT GARDEN THERMOMETER,2,2/21/11 15:04,5.95,17338,United Kingdom
